,Affection,Anger,Annoyance,Anticipation,Aversion,Confidence,Disapproval,Disconnection,Disquietment,Doubt/Confusion,Embarrassment,Engagement,Esteem,Excitement,Fatigue,Fear,Happiness,Pain,Peace,Pleasure,Sadness,Sensitivity,Suffering,Surprise,Sympathy,Yearning
Affection,9,0,0,0,0,2,0,1,0,0,0,5,1,2,0,0,13,0,2,0,2,0,0,0,0,0
Anger,0,7,0,0,0,0,4,6,1,0,0,6,0,4,0,0,1,2,2,0,1,0,0,2,0,0
Annoyance,0,5,0,1,1,2,2,6,0,0,0,11,0,1,0,1,1,3,0,0,2,0,0,0,0,0
Anticipation,0,0,0,0,0,1,0,2,1,0,0,17,0,7,0,0,2,0,0,0,2,0,0,1,0,0
Aversion,1,4,0,0,0,1,5,5,0,0,0,7,0,3,1,1,3,1,1,0,3,0,0,1,0,0
Confidence,0,0,0,0,0,7,0,2,0,0,0,10,0,10,0,0,7,0,1,0,1,0,0,0,0,0
Disapproval,0,6,2,0,0,1,6,3,0,0,0,6,0,1,2,1,1,2,0,0,4,0,0,1,0,0
Disconnection,0,0,0,0,0,0,0,10,0,1,0,11,0,0,0,0,1,0,5,0,2,0,0,1,0,0
Disquietment,1,0,0,0,0,1,0,7,0,0,0,12,0,6,0,0,8,1,0,0,2,0,0,0,0,0
Doubt/Confusion,0,0,0,0,0,1,1,14,1,1,0,6,0,0,3,1,0,1,2,0,5,0,0,2,0,0
Embarrassment,1,0,1,0,0,0,0,3,0,1,0,13,0,5,1,0,1,1,0,0,7,0,0,3,0,0
Engagement,1,0,0,1,0,0,1,8,0,0,0,30,0,10,0,1,11,0,5,0,0,0,0,2,0,0
Esteem,1,0,0,1,0,1,0,2,0,0,0,17,0,3,0,0,7,1,1,0,1,0,0,1,0,0
Excitement,0,0,0,0,0,1,0,3,0,0,0,12,0,11,0,1,5,0,1,0,1,0,0,3,0,0
Fatigue,0,0,0,0,0,1,0,5,1,2,0,8,0,0,12,0,0,3,4,0,2,0,0,0,0,0
Fear,2,0,0,0,0,2,0,4,0,0,0,8,0,4,0,6,3,0,0,0,2,0,0,3,0,0
Happiness,0,0,0,0,0,3,0,1,0,0,0,5,0,6,0,0,19,0,2,0,0,0,0,0,0,0
Pain,1,1,0,0,0,0,0,1,0,0,0,0,0,3,3,4,0,14,2,0,1,0,0,0,0,0
Peace,1,0,0,0,0,3,0,1,0,0,0,12,0,2,2,0,9,0,4,0,0,0,0,2,0,0
Pleasure,0,0,0,0,0,1,0,2,0,0,0,13,0,4,1,0,12,1,1,2,1,0,0,0,0,0
Sadness,5,0,0,0,0,2,0,9,1,0,0,3,0,0,2,1,1,0,0,0,13,0,0,1,0,0
Sensitivity,4,0,0,0,0,1,0,1,0,0,0,13,0,2,0,0,5,3,0,0,6,0,0,2,0,0
Suffering,0,0,0,0,0,0,0,4,0,0,0,2,0,1,2,3,2,2,0,0,0,0,0,1,0,0
Surprise,2,0,0,1,0,1,0,1,0,0,0,13,0,4,2,0,0,4,0,0,3,0,0,6,0,0
Sympathy,1,0,0,0,0,3,1,5,1,0,0,4,0,1,1,0,11,1,1,0,5,0,2,0,0,0
Yearning,0,0,0,0,0,3,0,9,0,0,0,12,0,2,1,0,2,0,6,0,3,0,0,0,0,0
