,Affection,Anger,Annoyance,Anticipation,Aversion,Confidence,Disapproval,Disconnection,Disquietment,Doubt/Confusion,Embarrassment,Engagement,Esteem,Excitement,Fatigue,Fear,Happiness,Pain,Peace,Pleasure,Sadness,Sensitivity,Suffering,Surprise,Sympathy,Yearning
Affection,10,0,0,0,0,0,0,2,0,0,0,4,1,2,0,0,19,0,0,0,0,0,0,0,0,0
Anger,0,10,0,0,0,1,2,3,1,0,0,6,0,10,1,1,2,0,0,0,1,0,0,0,0,0
Annoyance,1,7,0,1,0,1,2,5,0,0,0,8,0,3,2,2,3,1,0,0,0,0,0,2,0,0
Anticipation,0,0,0,2,0,0,0,2,0,0,0,14,0,12,0,1,2,0,1,0,2,0,0,2,0,0
Aversion,2,5,0,0,0,1,4,1,2,0,0,5,0,4,2,1,4,0,2,0,2,0,0,3,0,0
Confidence,0,0,0,1,0,2,1,0,0,0,0,9,1,15,0,1,7,0,0,0,1,0,0,0,0,0
Disapproval,0,8,1,0,0,2,6,2,0,0,0,3,0,4,1,1,2,1,0,0,4,0,0,3,0,0
Disconnection,0,1,0,1,0,0,1,4,0,0,0,16,1,1,2,0,4,0,5,0,1,0,0,1,0,0
Disquietment,1,0,0,0,0,0,0,2,0,0,0,13,0,8,0,1,11,0,1,0,1,0,0,0,0,0
Doubt/Confusion,0,0,0,4,0,0,1,7,0,2,0,6,0,1,5,0,2,1,2,0,6,0,0,1,0,0
Embarrassment,1,1,1,1,0,0,0,2,0,1,0,6,0,11,1,0,4,1,1,0,3,0,0,3,0,1
Engagement,2,1,1,5,0,0,0,2,0,0,0,25,0,22,1,0,13,0,5,0,1,0,0,1,0,0
Esteem,1,0,0,2,0,1,0,1,0,0,0,12,0,5,0,0,15,0,0,0,1,0,0,0,0,0
Excitement,0,0,0,1,0,0,0,2,0,0,0,8,0,16,0,0,6,0,0,0,1,0,0,4,0,0
Fatigue,0,0,0,1,0,2,0,6,1,1,0,9,0,0,13,0,1,2,2,0,0,0,0,0,0,0
Fear,1,0,0,0,0,0,0,1,0,0,0,8,0,9,1,5,3,0,2,0,2,0,1,3,0,0
Happiness,1,0,0,0,0,0,0,1,0,0,0,2,0,10,0,0,20,0,3,0,0,0,0,1,0,0
Pain,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,4,0,14,0,0,4,0,0,0,0,0
Peace,1,0,0,0,0,2,0,1,0,0,0,7,0,6,3,0,12,0,6,0,0,0,0,0,0,0
Pleasure,0,0,0,1,0,2,1,1,0,0,0,9,0,7,1,0,12,0,2,1,0,0,0,0,0,1
Sadness,4,0,0,0,0,1,0,1,1,1,1,3,0,1,3,3,1,0,0,0,12,0,3,1,2,0
Sensitivity,8,0,0,0,0,1,0,1,0,0,0,9,0,2,1,1,6,1,1,0,4,0,1,2,0,0
Suffering,0,0,0,1,0,0,1,0,0,1,0,4,0,3,2,1,1,0,0,0,2,0,0,2,0,0
Surprise,2,0,0,1,0,0,1,2,1,0,0,9,0,5,2,0,3,1,0,0,1,0,0,10,0,0
Sympathy,3,0,1,0,0,1,1,1,0,0,0,6,0,2,1,1,12,1,0,0,5,0,3,0,0,0
Yearning,0,0,0,2,0,2,0,2,0,0,0,15,0,4,0,0,5,0,4,0,4,0,0,0,0,0
