image_path,true_label,reason
framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Peace,Invalid or too small bounding box crop
framesdb/images/frame_k43u0wqy98p0ihaw.jpg,Peace,Invalid or too small bounding box crop
framesdb/images/frame_ek3zcwpt9ed6j6gm.jpg,Affection,Invalid or too small bounding box crop
framesdb/images/frame_buzpuitr3r0g31br.jpg,Esteem,Invalid or too small bounding box crop
framesdb/images/frame_5trqiebh1s6h9lg6.jpg,Esteem,Invalid or too small bounding box crop
framesdb/images/frame_b1v3bzyq8s4ucvy1.jpg,Anticipation,Invalid or too small bounding box crop
framesdb/images/frame_b1v3bzyq8s4ucvy1.jpg,Anticipation,Invalid or too small bounding box crop
emodb_small/images/4le1bbiky5djx0iuln.jpg,Anticipation,Invalid or too small bounding box crop
framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Anticipation,Invalid or too small bounding box crop
framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Anticipation,Invalid or too small bounding box crop
framesdb/images/frame_95x221h7yj814qxc.jpg,Engagement,Invalid or too small bounding box crop
framesdb/images/frame_b1v3bzyq8s4ucvy1.jpg,Engagement,Invalid or too small bounding box crop
framesdb/images/frame_08cmg83x4uc6vay4.jpg,Engagement,Invalid or too small bounding box crop
framesdb/images/frame_08cmg83x4uc6vay4.jpg,Engagement,Invalid or too small bounding box crop
framesdb/images/frame_08cmg83x4uc6vay4.jpg,Engagement,Invalid or too small bounding box crop
framesdb/images/frame_88u3mzsacaic5583.jpg,Engagement,Invalid or too small bounding box crop
framesdb/images/frame_c9ctv7ctm2dnic4v.jpg,Happiness,Invalid or too small bounding box crop
framesdb/images/frame_k43u0wqy98p0ihaw.jpg,Happiness,Invalid or too small bounding box crop
framesdb/images/frame_3j8fpei7ais7ioo3.jpg,Surprise,Invalid or too small bounding box crop
framesdb/images/frame_b3kr0jo6wpi3h6q9.jpg,Sympathy,Invalid or too small bounding box crop
framesdb/images/frame_95x221h7yj814qxc.jpg,Disconnection,Invalid or too small bounding box crop
framesdb/images/frame_d8e8zt0xx79rhd3a.jpg,Disconnection,Invalid or too small bounding box crop
framesdb/images/frame_dy0xnq4fy1sn1ra8.jpg,Disconnection,Invalid or too small bounding box crop
framesdb/images/frame_dy0xnq4fy1sn1ra8.jpg,Disconnection,Invalid or too small bounding box crop
framesdb/images/frame_5trqiebh1s6h9lg6.jpg,Disconnection,Invalid or too small bounding box crop
framesdb/images/frame_5trqiebh1s6h9lg6.jpg,Disconnection,Invalid or too small bounding box crop
framesdb/images/frame_cirbkrxk7gfqdi0x.jpg,Disconnection,Invalid or too small bounding box crop
ade20k/images/labelme_uxykffazxuuosbb.jpg,Embarrassment,Invalid or too small bounding box crop
framesdb/images/frame_lwdfk9rw0eug2k0v.jpg,Disapproval,Invalid or too small bounding box crop
framesdb/images/frame_hutlyzubgxn7n7fu.jpg,Disapproval,Invalid or too small bounding box crop
ade20k/images/labelme_wqnscyafmdgxnwn.jpg,Aversion,Invalid or too small bounding box crop
framesdb/images/frame_b3kr0jo6wpi3h6q9.jpg,Annoyance,Invalid or too small bounding box crop
framesdb/images/frame_j940nf7k1rdhkejk.jpg,Annoyance,Invalid or too small bounding box crop
framesdb/images/frame_jbtqq5ahai9ylby3.jpg,Anger,Invalid or too small bounding box crop
framesdb/images/frame_im5arsnyxuzoyvyh.jpg,Anger,Invalid or too small bounding box crop
framesdb/images/frame_j0xzsnmfh9k2uxkr.jpg,Sensitivity,Invalid or too small bounding box crop
framesdb/images/frame_7a68ral9kucogafl.jpg,Fear,Invalid or too small bounding box crop
framesdb/images/frame_8n7h8jtzvy8n9676.jpg,Fear,Invalid or too small bounding box crop
emodb_small/images/a77hwmd2i3rbcdgy32.jpg,Pain,Invalid or too small bounding box crop
framesdb/images/frame_hxjikqmyt3a45rgh.jpg,Suffering,Invalid or too small bounding box crop
framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Engagement,Invalid or too small bounding box crop
framesdb/images/frame_ek3zcwpt9ed6j6gm.jpg,Engagement,Invalid or too small bounding box crop
ade20k/images/sun_ajjqvlkgojhqxjal.jpg,Engagement,Invalid or too small bounding box crop
