,Affection,Anger,Annoyance,Anticipation,Aversion,Confidence,Disapproval,Disconnection,Disquietment,Doubt/Confusion,Embarrassment,Engagement,Esteem,Excitement,Fatigue,Fear,Happiness,Pain,Peace,Pleasure,Sadness,Sensitivity,Suffering,Surprise,Sympathy,Yearning
Affection,4,0,0,1,0,0,1,4,0,0,0,1,2,1,0,0,18,0,2,1,2,0,0,0,0,0
Anger,0,8,0,2,0,1,14,2,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,2,0,0
Annoyance,0,7,0,5,0,2,10,5,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,0
Anticipation,0,0,0,8,0,1,1,6,0,0,0,3,0,7,1,0,3,0,0,0,1,0,0,2,0,0
Aversion,1,4,0,0,0,2,7,7,0,0,0,1,0,1,1,1,5,1,0,3,2,0,0,1,0,0
Confidence,0,0,0,7,0,4,1,4,0,0,0,0,1,10,0,1,9,0,1,0,0,0,0,0,0,0
Disapproval,0,5,0,1,0,0,15,4,0,0,0,1,0,1,0,0,3,2,0,0,3,0,0,1,0,0
Disconnection,1,0,0,1,0,2,5,12,0,0,0,4,1,0,1,0,2,0,1,0,0,0,0,0,1,0
Disquietment,1,0,0,2,0,0,3,5,0,1,0,5,0,6,0,1,11,1,0,1,1,0,0,0,0,0
Doubt/Confusion,0,0,0,2,0,2,7,10,1,0,1,1,0,0,5,1,1,1,1,0,3,0,1,1,0,0
Embarrassment,1,0,0,9,0,5,1,1,0,1,0,2,1,4,1,0,3,0,1,0,3,0,2,2,0,0
Engagement,1,0,0,8,0,1,4,13,0,0,0,7,0,8,0,0,18,1,2,5,0,0,0,2,0,0
Esteem,1,0,0,2,0,3,3,7,0,0,0,4,2,1,0,0,11,0,0,1,1,0,0,0,0,0
Excitement,0,0,0,5,0,0,3,6,0,0,0,2,1,6,0,0,11,1,0,0,0,0,0,3,0,0
Fatigue,0,0,0,1,0,3,4,7,0,0,0,1,0,0,14,0,0,4,3,0,0,0,1,0,0,0
Fear,0,0,0,5,0,1,3,3,0,0,0,0,0,7,0,4,6,0,1,1,1,0,0,2,0,0
Happiness,0,0,0,1,0,2,1,1,0,0,0,0,0,2,0,0,25,0,2,1,0,0,0,1,0,0
Pain,0,1,0,1,0,2,1,1,0,0,0,0,0,2,0,1,4,15,2,0,0,0,0,0,0,0
Peace,1,0,0,0,0,1,1,10,0,0,1,3,1,1,1,0,9,0,2,4,0,0,0,1,0,0
Pleasure,1,0,0,3,0,1,3,5,0,0,0,1,0,3,1,0,14,1,0,4,1,0,0,0,0,0
Sadness,3,0,0,1,0,0,6,4,1,0,0,0,0,0,0,1,2,1,1,0,14,0,1,0,3,0
Sensitivity,2,0,0,0,0,3,3,4,0,0,0,4,1,0,2,0,10,1,1,1,4,0,0,1,0,0
Suffering,0,0,0,2,0,0,5,3,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,1,0,0
Surprise,1,0,0,2,0,3,4,4,1,0,0,1,0,3,1,0,6,2,1,3,0,0,0,5,0,0
Sympathy,1,0,0,0,0,2,2,6,0,0,0,0,1,0,1,1,16,1,0,0,6,0,0,0,0,0
Yearning,0,0,0,3,0,1,3,15,0,0,0,3,1,0,2,0,3,0,2,3,2,0,0,0,0,0
