,Affection,Anger,Annoyance,Anticipation,Aversion,Confidence,Disapproval,Disconnection,Disquietment,Doubt/Confusion,Embarrassment,Engagement,Esteem,Excitement,Fatigue,Fear,Happiness,Pain,Peace,Pleasure,Sadness,Sensitivity,Suffering,Surprise,Sympathy,Yearning
Affection,5,0,0,0,0,0,2,2,0,0,0,3,2,0,0,0,22,0,2,0,0,0,0,0,0,0
Anger,0,9,0,1,0,1,8,3,1,0,0,4,1,2,0,0,6,0,0,0,0,0,0,2,0,0
Annoyance,0,6,0,4,1,0,8,2,1,0,0,0,1,3,2,1,6,1,1,0,1,0,0,0,0,0
Anticipation,0,0,0,9,0,1,2,1,0,0,0,6,0,8,0,0,8,0,3,0,0,0,0,0,0,0
Aversion,1,3,0,1,0,0,10,2,0,0,0,1,1,1,1,1,7,0,2,2,2,0,1,2,0,0
Confidence,0,0,0,9,0,2,0,1,0,0,0,3,2,7,0,0,13,0,0,0,0,0,1,0,0,0
Disapproval,0,6,0,0,0,1,14,3,1,0,0,1,1,1,0,0,4,1,0,1,2,0,1,1,0,0
Disconnection,0,1,0,2,0,0,5,4,0,0,0,8,1,0,2,0,11,0,4,0,0,0,0,0,0,0
Disquietment,0,0,0,3,0,1,3,2,0,0,0,5,0,7,0,0,14,0,2,0,1,0,0,0,0,0
Doubt/Confusion,0,0,0,8,0,1,6,7,2,1,0,1,0,0,3,0,4,0,1,0,3,0,0,0,1,0
Embarrassment,1,0,0,3,0,1,4,4,1,1,1,2,1,5,0,0,9,0,1,0,3,0,1,0,0,0
Engagement,1,1,0,10,0,0,6,6,0,0,0,11,0,13,0,0,25,0,3,2,0,0,0,1,0,0
Esteem,0,0,0,4,0,1,0,0,0,0,0,9,3,2,0,0,15,0,1,1,1,0,0,0,1,0
Excitement,1,0,0,5,0,1,2,2,0,0,0,4,0,9,0,0,11,0,0,0,0,0,1,2,0,0
Fatigue,1,0,0,1,0,1,4,9,0,0,0,3,0,0,11,0,3,4,1,0,0,0,0,0,0,0
Fear,0,0,0,4,0,2,0,0,0,0,0,1,0,6,1,3,10,0,2,1,2,0,1,2,1,0
Happiness,1,0,0,1,0,0,0,1,0,0,0,2,1,2,0,0,27,0,1,1,0,0,0,1,0,0
Pain,0,1,0,1,0,2,0,0,0,0,0,0,0,3,1,2,3,14,0,0,2,0,2,0,0,0
Peace,1,0,0,2,0,1,2,2,0,0,0,2,0,0,2,0,20,0,3,3,0,0,0,0,0,0
Pleasure,1,0,0,5,0,0,3,2,0,0,0,1,1,3,1,0,17,0,0,4,0,0,0,0,0,0
Sadness,4,0,0,2,0,1,4,1,0,1,1,1,0,0,2,1,1,0,1,0,13,0,3,0,2,0
Sensitivity,5,0,0,1,0,1,2,0,0,0,1,4,0,0,1,1,16,1,0,0,4,0,0,1,0,0
Suffering,0,0,0,3,0,1,1,2,0,0,0,0,0,3,1,1,1,0,1,0,2,0,1,1,0,0
Surprise,1,0,0,5,0,0,10,2,0,0,0,3,0,2,4,0,7,0,0,0,0,0,0,4,0,0
Sympathy,2,0,0,1,0,1,2,3,0,0,0,1,0,1,1,1,17,0,0,0,6,0,2,0,0,0
Yearning,0,0,0,6,0,1,1,8,0,0,0,3,3,2,1,0,6,0,5,1,1,0,0,0,0,0
