,Affection,Anger,Annoyance,Anticipation,Aversion,Confidence,Disapproval,Disconnection,Disquietment,Doubt/Confusion,Embarrassment,Engagement,Esteem,Excitement,Fatigue,Fear,Happiness,Pain,Peace,Pleasure,Sadness,Sensitivity,Suffering,Surprise,Sympathy,Yearning
Affection,11,0,0,0,0,10,0,2,0,1,0,3,0,0,0,0,8,0,0,1,0,0,0,0,1,0
Anger,0,10,1,0,1,10,1,2,0,2,0,3,0,2,1,0,1,2,0,0,0,0,0,0,0,0
Annoyance,0,5,3,1,0,16,0,1,1,0,0,2,0,1,2,1,1,2,0,0,0,0,0,0,0,0
Anticipation,0,0,0,0,0,25,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aversion,2,5,3,0,1,12,2,0,0,2,1,2,0,1,1,0,1,0,1,0,2,0,1,0,0,0
Confidence,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,1,0,1,0
Disapproval,0,5,8,0,1,8,2,1,0,0,0,3,0,0,2,0,1,1,1,0,2,0,0,1,0,0
Disconnection,1,0,0,0,0,12,0,6,1,0,1,4,0,0,1,0,2,0,2,0,0,0,0,0,1,0
Disquietment,0,0,1,1,0,23,0,1,1,0,1,4,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Doubt/Confusion,0,0,1,0,0,14,0,4,9,1,1,2,0,0,3,0,0,0,0,1,0,0,1,1,0,0
Embarrassment,2,0,1,0,0,14,0,0,0,4,2,5,0,1,2,0,0,1,0,1,1,0,3,0,0,0
Engagement,0,2,0,0,0,45,0,0,0,1,1,8,0,2,0,0,6,0,2,2,0,1,0,0,0,0
Esteem,2,0,0,1,0,22,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0
Excitement,0,0,0,0,0,24,0,0,0,1,0,2,0,2,0,0,4,0,3,0,0,0,0,2,0,0
Fatigue,0,0,0,0,0,14,0,2,2,1,1,1,0,0,13,0,0,3,1,0,0,0,0,0,0,0
Fear,1,0,0,0,0,19,0,1,1,1,1,4,0,0,0,3,1,0,1,0,0,0,0,1,0,0
Happiness,0,0,0,0,0,16,0,1,1,0,0,1,0,2,0,0,12,0,3,0,0,0,0,0,0,0
Pain,0,1,0,0,0,4,0,1,1,0,0,2,0,0,4,0,0,15,1,0,0,0,0,0,0,0
Peace,1,0,1,0,0,14,0,0,0,0,1,7,0,1,1,0,2,0,2,5,0,0,0,1,0,0
Pleasure,0,0,0,0,0,19,0,0,1,0,1,4,0,2,0,0,6,0,2,3,0,0,0,0,0,0
Sadness,6,0,0,0,0,9,0,5,1,1,3,1,0,0,0,1,1,1,0,0,4,1,3,0,1,0
Sensitivity,3,0,0,0,0,15,0,0,1,0,1,5,0,0,1,0,6,1,0,0,2,0,2,0,0,0
Suffering,0,0,0,0,0,4,0,3,1,0,0,1,0,0,2,0,1,2,0,0,1,0,1,1,0,0
Surprise,1,1,0,0,0,17,0,0,3,1,3,0,0,1,2,0,1,1,1,0,0,0,0,5,0,0
Sympathy,1,0,0,0,0,13,1,5,2,0,1,3,0,0,1,0,5,3,0,0,1,0,1,0,0,0
Yearning,0,0,0,0,0,17,0,5,0,0,0,4,0,0,4,0,1,0,5,2,0,0,0,0,0,0
