,Affection,Anger,Annoyance,Anticipation,Aversion,Confidence,Disapproval,Disconnection,Disquietment,Doubt/Confusion,Embarrassment,Engagement,Esteem,Excitement,Fatigue,Fear,Happiness,Pain,Peace,Pleasure,Sadness,Sensitivity,Suffering,Surprise,Sympathy,Yearning
Affection,17,0,0,0,0,3,0,2,0,1,0,3,1,1,0,0,10,0,0,0,0,0,0,0,0,0
Anger,0,9,2,0,0,11,1,2,1,0,0,3,0,5,2,0,0,0,1,0,0,0,1,0,0,0
Annoyance,0,10,2,0,0,9,0,2,1,0,0,7,0,1,1,0,2,2,1,0,0,0,0,0,0,0
Anticipation,2,0,0,1,0,19,0,0,0,0,0,11,0,0,0,0,2,0,2,0,0,0,1,0,0,0
Aversion,5,4,3,0,0,7,4,0,0,1,2,3,0,1,0,0,1,1,2,1,2,0,0,0,1,0
Confidence,0,0,0,0,0,20,0,1,0,0,0,5,1,1,0,0,8,0,0,0,0,0,1,0,1,0
Disapproval,0,9,6,0,0,5,2,3,2,0,0,2,0,2,1,0,3,1,0,0,0,0,1,1,0,0
Disconnection,0,1,0,1,0,7,0,1,1,0,1,15,1,0,1,0,6,0,3,0,0,0,0,0,0,0
Disquietment,3,1,0,0,0,18,0,1,0,0,0,8,0,0,0,0,5,0,0,1,1,0,0,0,0,0
Doubt/Confusion,0,0,1,0,0,6,1,5,5,2,0,8,0,1,4,0,2,1,1,0,0,0,1,0,0,0
Embarrassment,2,1,1,1,0,13,0,1,2,2,2,5,0,0,0,0,2,0,1,1,2,0,1,1,0,0
Engagement,8,1,1,2,0,30,0,0,0,0,1,18,0,4,0,0,10,0,3,1,0,0,0,0,0,0
Esteem,1,0,0,1,0,16,0,0,0,0,0,11,0,0,0,0,7,0,0,0,1,0,0,0,1,0
Excitement,0,0,1,0,0,18,0,1,0,0,0,6,0,1,0,0,8,0,0,0,0,0,1,2,0,0
Fatigue,1,0,0,0,0,10,0,1,2,0,0,5,0,0,14,0,1,2,1,1,0,0,0,0,0,0
Fear,0,0,1,0,0,11,0,0,1,0,2,10,0,0,1,2,1,0,1,0,1,0,3,1,1,0
Happiness,0,0,0,0,0,12,0,0,0,1,0,4,0,4,0,0,16,0,1,0,0,0,0,0,0,0
Pain,0,2,0,0,0,2,0,0,0,0,0,4,0,0,4,0,0,17,0,0,2,0,0,0,0,0
Peace,2,0,1,0,0,8,0,0,0,0,0,8,0,0,1,0,15,0,1,2,0,0,0,0,0,0
Pleasure,1,0,1,0,0,11,0,0,0,0,0,10,0,1,2,0,8,0,0,4,0,0,0,0,0,0
Sadness,5,0,0,0,1,4,0,0,5,0,1,3,0,0,4,1,0,1,0,0,2,0,8,0,2,1
Sensitivity,8,0,0,0,0,7,0,1,0,0,1,7,0,2,1,0,5,2,0,0,2,0,2,0,0,0
Suffering,0,0,0,0,0,5,0,0,2,0,0,3,0,0,2,0,2,1,0,0,0,0,2,1,0,0
Surprise,0,0,1,1,0,9,0,1,2,0,0,5,0,1,3,0,3,1,0,0,0,0,0,11,0,0
Sympathy,2,0,0,0,0,5,0,1,1,0,0,2,0,0,1,0,14,4,0,0,4,0,2,1,1,0
Yearning,1,0,0,1,0,16,0,2,0,0,0,8,0,0,1,0,2,0,6,0,0,0,0,0,0,1
